Bulk ID,Miller Index,Trajectory ID in OC22,Bulk Symbols,Energy_type,Melting_point (K),ΔEhull (meV/atom),Is_stable,Esurf.,Predicted Eadh (J/m2) ,Predicted Contact Angle θ ,Is_NNMD or iGAM
mp-765466,"(1, 1, 0)",Ga2CoO4_mp-765466_clean_UMhCe0dZhS,Ga16Co8O32,GGA+U,2022,0,Stable,8.27,-2.06,73.22,6-features iGAM
mp-1213970,"(0, 1, 0)",CaOsO3_mp-1213970_clean_TCPVe0pthC,Ca4Os4O12,GGA,1886,87.31,Unstable,7.07,-2.01,75.4,6-features iGAM
mp-31124,"(1, 1, -1)",Y2MoO6_mp-31124_clean_YGTAKnQZPB,Y16Mo8O48,GGA+U,2010,0,Stable,9.45,-2.08,72.82,6-features iGAM
mp-19252,"(1, 1, 3)",K2NiO2_mp-19252_clean_bq4l4Dy2GY,K4Ni2O4,GGA+U,1208,0,Stable,7.87,-2.04,74.27,6-features iGAM
mp-1243,"(1, 0, 1)",Ga2O3_mp-1243_clean_c61uPgLKmd,Ga12O18,GGA,2105,29.79,Unstable,9.25,-1.89,79.69,6-features iGAM
mvc-14154,"(1, 2, 2)",YMoO3_mvc-14154_clean_BxlNIvQJkl,Y4Mo4O12,GGA+U,2027,29.57,Unstable,9,-1.83,81.99,6-features iGAM
mp-3564,"(0, 0, 1)",BaSc2O4_mp-3564_clean_1hrPpYGq4A,Ba12Sc24O48,GGA,2460,0,Stable,11.08,-1.9,79.25,6-features iGAM
mp-772856,"(1, 1, 1)",CuHgO2_mp-772856_clean_gbUUoKrkkv,Cu2Hg2O4,GGA,845,53.41,Unstable,4.93,-1.95,77.34,6-features iGAM
mp-1103519,"(0, 0, 1)",KCuO_mp-1103519_clean_W9K6s7spPr,K8Cu8O8,GGA,1033,1.04,Meta-stable,4.65,-1.94,77.68,6-features iGAM
mp-17097,"(1, 0, 0)",SrIrO3_mp-17097_clean_dIzCPPCmGt,Sr12Ir12O36,GGA,1889,19.3,Meta-stable,4.66,-1.77,83.9,6-features iGAM
mp-754588,"(1, 0, 1)",ZrBiO4_mp-754588_clean_fUyjazOyYH,Zr4Bi4O16,GGA,1738,78.56,Unstable,4.99,-1.89,79.57,6-features iGAM
mp-3324,"(1, 1, 0)",Nb2SnO6_mp-3324_clean_qae9kNnNC9,Nb8Sn4O24,GGA,1564,0,Stable,6.45,-2.08,72.57,6-features iGAM
mp-352,"(1, 1, -3)",HfO2_mp-352_clean_GvO06Eyvmm,Hf4O8,GGA,2957,0,Stable,8.05,-1.94,77.95,6-features iGAM
mp-1197783,"(1, 0, 0)",ReBi3O8_mp-1197783_clean_czkJBUX3bX,Re8Bi24O64,GGA,1200,3.02,Meta-stable,3.74,-1.8,82.98,6-features iGAM
mp-753401,"(0, 1, 0)",Sc2TiO5_mp-753401_clean_t0cSRfxhCM,Sc8Ti4O20,GGA,2224,0,Stable,6.01,-1.95,77.45,6-features iGAM
mp-19029,"(1, 1, 1)",RbCr4O8_mp-19029_clean_dmspJ4CVzy,Rb1Cr4O8,GGA+U,501,42.77,Unstable,12.97,-1.99,75.94,6-features iGAM
mp-20798,"(2, 0, -1)",MnGeO3_mp-20798_clean_INvy9GhdLr,Mn6Ge6O18,GGA+U,1484,16.75,Meta-stable,16.6,-1.89,79.48,6-features iGAM
mp-753658,"(3, 0, 1)",AlCrO4_mp-753658_clean_08ELJz3mvG,Al2Cr2O8,GGA+U,2035,124.39,Unstable,11.11,-1.98,76.43,6-features iGAM
mvc-636,"(1, -2, 2)",90423983570956_Sb-WO4-2_mvc-636_clean_JTlROGkgEF,Sb1W2O8,GGA+U,1464,212.02,Unstable,9.74,-1.88,80.08,6-features iGAM
mp-867719,"(1, 2, 2)",FePtO2_mp-867719_clean_1bT1MBfjgx,Fe2Pt2O4,GGA+U,1577,74.23,Unstable,9.92,-2.03,74.35,6-features iGAM
mp-29542,"(2, -2, -1)",K4Bi2O5_mp-29542_clean_viElPMLWzQ,K8Bi4O10,GGA,1088,4.53,Meta-stable,2.38,-1.57,91.31,6-features iGAM
mp-675991,"(1, 0, 0)",Cd3-BiO2-10_mp-675991_clean_HG3Gqitx54,Cd6Bi20O40,GGA,1066,121.67,Unstable,2.33,-1.43,96.01,6-features iGAM
mp-3319,"(1, 0, 0)",Mg-RhO2-2_mp-3319_clean_Shb6OhA39P,Mg8Rh16O32,GGA,1711,10.94,Meta-stable,6.5,-1.92,78.7,6-features iGAM
mp-771976,"(0, 0, 1)",1007228_Rb2Be2O3_mp-771976_clean_ZlGKIXamBh,Rb8Be8O12,GGA,925,31.25,Unstable,2.86,-1.52,92.78,6-features iGAM
mp-1187621,"(1, 1, 0)",TlWO3_mp-1187621_clean_cGC040XbNY,Tl1W1O3,GGA+U,882,157.75,Unstable,9.25,-1.96,77.18,6-features iGAM
mp-18788,"(1, 0, 0)",CrCoO4_mp-18788_clean_QZRWvktGZc,Cr4Co4O16,GGA+U,1352,0,Stable,13.68,-2.09,72.18,6-features iGAM
mp-18781,"(1, 0, 0)",1028014_CrCdO4_mp-18781_clean_C0ZqN12UHy,Cr4Cd4O16,GGA+U,1436,0,Stable,6.36,-2.1,72.02,6-features iGAM
mp-27226,"(1, 0, 1)",MgCu2O3_mp-27226_clean_JV4FXZDMpM,Mg2Cu4O6,GGA,1525,52.43,Unstable,7.35,-2.2,68.17,6-features iGAM
mp-6948,"(2, 2, 1)",KNaO_mp-6948_clean_u0DK1BSGdY,K2Na2O2,GGA,742,14.9,Meta-stable,3.85,-1.67,87.54,6-features iGAM
mp-1228030,"(1, 0, 0)",Ba4Bi2O_mp-1228030_clean_x6w2hUIrLp,Ba8Bi4O2,GGA,1147,0,Stable,1.19,-1.55,91.81,6-features iGAM
mp-1016841,"(3, 1, 0)",HfHgO3_mp-1016841_clean_ESfffQ4gVE,Hf1Hg1O3,GGA,2427,299.05,Unstable,3.09,-1.4,97.36,6-features iGAM
mp-1210286,"(1, 1, 0)",Na2ReO3_mp-1210286_clean_HiQ6Xgsa84,Na8Re4O12,GGA,1219,0,Stable,6.46,-2.12,71.3,6-features iGAM
mp-996990,"(2, 1, 3)",235508583253254_BaAgO2_mp-996990_clean_B7frMzTXZ3,Ba1Ag1O2,GGA,1233,0,Stable,3.09,-1.57,90.99,6-features iGAM
mp-558573,"(0, 0, 1)",Y2O3_mp-558573_clean_HwzppGHHwW,Y12O18,GGA,2677,48.13,Unstable,5.52,-1.87,80.52,6-features iGAM
mp-6989,"(0, 2, 1)",BaSeO3_mp-6989_clean_zeSoOPOU9B,Ba2Se2O6,GGA,1439,0,Stable,4.06,-1.82,82.07,6-features iGAM
mp-1224786,"(1, 1, 1)",90423983534_GaSbO4_mp-1224786_clean_C5w1yrXDmY,Ga2Sb2O8,GGA,1620,0,Stable,6.88,-2.1,71.98,6-features iGAM
mp-754663,"(1, 1, -1)",Na2Be2O3_mp-754663_clean_2RZjfboHZN,Na4Be4O6,GGA,1288,35.1,Unstable,6.81,-2.04,74.03,6-features iGAM
mp-1105681,"(1, 1, 0)",1028014_In2O3_mp-1105681_clean_OjiiQm8AVW,In8O12,GGA,2098,49.52,Unstable,5.67,-2.01,75.24,6-features iGAM
mp-1185692,"(1, 1, 1)",MgBeO3_mp-1185692_clean_VcjetksXK0,Mg1Be1O3,GGA,2642,649.67,Unstable,-0.28,-1.26,102.19,6-features iGAM
mp-753662,"(1, 0, 1)",K2Mg2O3_mp-753662_clean_zdrt17Gys2,K4Mg4O6,GGA,1383,7.68,Meta-stable,5.17,-1.96,77.11,6-features iGAM
mp-543103,"(1, 0, 0)",NiGe3O8_mp-543103_clean_4R7KIjj5Tm,Ni4Ge12O32,GGA+U,1621,153.11,Unstable,10.96,-1.95,77.39,6-features iGAM
mp-18405,"(0, 0, 1)",CrWO4_mp-18405_clean_FYMXLScOnz,Cr16W16O64,GGA+U,1697,32.85,Unstable,29.78,-1.84,81.38,6-features iGAM
mp-1178419,"(1, 2, 2)",Cr-SbO3-2_mp-1178419_clean_xFyZBLRHOh,Cr2Sb4O12,GGA+U,1548,120.85,Unstable,7.4,-2.01,75.15,6-features iGAM
mp-1202570,"(0, 1, 0)",CuGeO3_mp-1202570_clean_2aZ9nGbO4Z,Cu16Ge16O48,GGA,1405,21.57,Meta-stable,8.31,-1.91,78.75,6-features iGAM
mp-5670,"(1, 0, 0)",LiTi2O4_mp-5670_clean_gFTA0PXqoW,Li8Ti16O32,GGA,1765,0,Stable,6.04,-2.06,73.32,6-features iGAM
mp-11023,"(1, 0, 2)",509358681_ScAuO2_mp-11023_clean_RNEENFLFsh,Sc2Au2O4,GGA,1699,12.15,Meta-stable,3.39,-1.68,87.13,6-features iGAM
mp-4527,"(0, 0, 1)",Li8SnO6_mp-4527_clean_1bsb6gNQ0b,Li24Sn3O18,GGA,1506,0,Stable,6.74,-2.1,71.94,6-features iGAM
mp-27791,"(1, 0, 0)",SrBe3O4_mp-27791_clean_jJ4nSwb5GC,Sr2Be6O8,GGA,2074,0,Stable,9.32,-2.05,73.74,6-features iGAM
mp-1193554,"(1, 1, 0)",Bi2Se3O10_mp-1193554_clean_gHL5w4APeP,Bi8Se12O40,GGA,1050,0,Stable,3.9,-1.86,80.66,6-features iGAM
mp-971,"(1, 1, 0)",K2O_mp-971_clean_PkWZ784fHk,K8O4,GGA,951,0,Stable,5.14,-2.04,74.09,6-features iGAM
mp-755071,"(2, 0, 1)",69019397_SnO2_mp-755071_clean_DjuUtHAqAH,Sn4O8,GGA,2012,57.02,Unstable,5.68,-1.99,75.89,6-features iGAM
mp-1227311,"(1, 1, 0)",BaSrO2_mp-1227311_clean_B5A4hjggoX,Ba3Sr3O6,GGA,2785,26.18,Unstable,4.19,-1.59,90.31,6-features iGAM
mp-9808,"(1, 0, 0)",Rb3NbO8_mp-9808_clean_NmHd5yAL5Q,Rb6Nb2O16,GGA,1559,0,Stable,2.3,-1.74,85.11,6-features iGAM
mp-1099249,"(1, 1, 1)",Mg3CuO4_mp-1099249_clean_j7nRXMVNKB,Mg3Cu1O4,GGA,1568,19.58,Meta-stable,10.84,-1.92,78.43,6-features iGAM
mp-28559,"(1, 0, -1)",Na6Be8O11_mp-28559_clean_QUhmevvynV,Na6Be8O11,GGA,1362,0,Stable,5.9,-2.12,71.19,6-features iGAM
mp-29352,"(2, 1, 0)",Ba2PdO3_mp-29352_clean_meSUE1azcO,Ba4Pd2O6,GGA,1806,0,Stable,5,-2.04,74.32,6-features iGAM
mp-1216790,"(2, 1, 0)",V2MoO8_mp-1216790_clean_r6kKbuE9vF,V4Mo2O16,GGA+U,953,15.05,Meta-stable,5.18,-1.87,80.51,6-features iGAM
mp-1173109,"(1, 2, 1)",2411243514_TaTiO4_mp-1173109_clean_6xeVhaa3Xz,Ta2Ti2O8,GGA,2157,15.47,Meta-stable,5.26,-1.75,84.73,6-features iGAM
mp-1219461,"(0, 0, 1)",Sb-WO3-5_mp-1219461_clean_Ryg76Mm4t1,Sb4W20O60,GGA+U,1419,48.83,Unstable,13.69,-1.96,77.16,6-features iGAM
mp-542117,"(1, 0, -2)",Cd3Se3O10_mp-542117_clean_YPAOg8K49g,Cd6Se6O20,GGA,962,0,Stable,4.98,-2.1,72.02,6-features iGAM
mp-756297,"(1, 0, 0)",1023647_ZnIn2O4_mp-756297_clean_a6WcSHUZqj,Zn8In16O32,GGA,1890,29.57,Unstable,6.06,-1.91,79.03,6-features iGAM
